"","first_time"
"136","Yes"
"137",""
"138","Yes"
"139","Yes"
"140","Yes"
"141","Yes"
"142",""
"143","Yes"
"144","Yes"
"145","Yes"
"146","Yes"
"147","Yes"
"148",""
"149","Yes"
"150",""
"151",""
"152",""
"153","Yes"
"154",""
"155","Yes"
"156","Yes"
"157","Yes"
"158","Yes"
"159","Yes"
"160","Yes"
"161","Yes"
"162","Yes"
"163",""
"164","Yes"
"165","Yes"
"166","Yes"
"167","Yes"
"168","Yes"
"169","No"
"170","Yes"
"171","Yes"
"172","Yes"
"173","Yes"
"174","Yes"
"175",""
"176","Yes"
"177","Yes"
"178","Yes"
"179","Yes"
"180","Yes"
"181","Yes"
"182","No"
"183","Yes"
"184","Yes"
"185","Yes"
"186","Yes"
"187","Yes"
"188","Yes"
"189","Yes"
"190","Yes"
"191","Yes"
"192","Yes"
"193","Yes"
"194","Yes"
"195","Yes"
"196","Yes"
"197","Yes"
"198","Yes"
"199","Yes"
"200","Yes"
"201","Yes"
"202","Yes"
"203","Yes"
"204","Yes"
"205","Yes"
"206","Yes"
"207","Yes"
"208","Yes"
"209","Yes"
"210","Yes"
"211","Yes"
"212","Yes"
"213","Yes"
"214","Yes"
"215",""
"216",""
"217","Yes"
"218",""
"219","Yes"
"220",""
"221","Yes"
"222","Yes"
"223","Yes"
"224","Yes"
"225","Yes"
"226","Yes"
"227",""
"228","No"
"229","Yes"
"230",""
"231","Yes"
"232",""
"233","Yes"
"234","Yes"
"235","Yes"
"236","Yes"
"237","Yes"
"238","Yes"
"239","Yes"
"240","Yes"
"241",""
"242",""
"243",""
"244","Yes"
"245","Yes"
"246","Yes"
"247","Yes"
"248","Yes"
"249","Yes"
"250","Yes"
"251","Yes"
"252","Yes"
"253","Yes"
"254",""
"255","Yes"
"256","No"
"257","Yes"
"258","Yes"
"259","Yes"
"260","Yes"
"261","Yes"
"262","Yes"
"263","Yes"
"264","Yes"
"265","Yes"
"266","Yes"
"267","Yes"
"268","Yes"
"269","Yes"
"270","Yes"
"271","Yes"
"272","Yes"
"273","Yes"
"274",""
"275","Yes"
"276","Yes"
"277","Yes"
"278","Yes"
"279","Yes"
"280","Yes"
"281","Yes"
"282","Yes"
"283",""
"284","Yes"
"285","Yes"
"286","Yes"
"287","Yes"
"288",""
"289",""
"290","Yes"
"291","Yes"
"292","Yes"
"293","Yes"
"294",""
"295","Yes"
"296","Yes"
"297",""
"298","Yes"
"299","Yes"
"300","Yes"
"301","Yes"
"302","Yes"
"303","Yes"
"304","Yes"
"305","No"
"306","Yes"
"307","Yes"
"308","Yes"
"309","Yes"
"310","Yes"
"311","Yes"
"312","Yes"
"313","Yes"
"314","Yes"
"315","Yes"
"316","Yes"
"317","Yes"
"318","Yes"
"319","Yes"
"320","Yes"
"321",""
"322","Yes"
"323","Yes"
"324","Yes"
"325","Yes"
"326","Yes"
"327","Yes"
"328","Yes"
"329",""
"330","Yes"
"331","Yes"
"332","Yes"
"333","Yes"
"334","Yes"
"335","No"
"336","Yes"
"337","Yes"
"338","No"
"339","Yes"
"340","Yes"
"341","Yes"
"342",""
"343",""
"344",""
"345","Yes"
"346","Yes"
"347","Yes"
"348","Yes"
"349","Yes"
"350","Yes"
"351","Yes"
"352","Yes"
"353","No"
"354","Yes"
"355","Yes"
"356","Yes"
"357","Yes"
"358","Yes"
"359","Yes"
"360","Yes"
"361","Yes"
"362",""
"363","Yes"
"364","Yes"
"365","Yes"
"366",""
"367",""
"368","Yes"
"369","Yes"
"370","Yes"
"371","Yes"
"372","Yes"
"373","Yes"
"374","Yes"
"375",""
"376","Yes"
"377","Yes"
"378","Yes"
"379","Yes"
"380","Yes"
"381","Yes"
"382",""
"383","Yes"
"384","No"
"385","Yes"
"386",""
"387","Yes"
"388","Yes"
"389","Yes"
"390","Yes"
"391","Yes"
"392","Yes"
"393","Yes"
"394","Yes"
"395","Yes"
"396","Yes"
"397","Yes"
"398","Yes"
"399","Yes"
"400","Yes"
"401","Yes"
"402","Yes"
"403",""
"404",""
"405",""
"406","Yes"
"407",""
"408","Yes"
"409","Yes"
"410","Yes"
"411","Yes"
"412","Yes"
"413",""
"414","Yes"
"415","Yes"
"416","Yes"
"417","No"
"418","Yes"
"419",""
"420","Yes"
"421","Yes"
"422",""
"423",""
"424",""
"425","Yes"
"426","No"
"427","Yes"
"428","No"
"429","Yes"
"430","Yes"
"431","No"
"432","No"
"433",""
"434","Yes"
"435","Yes"
"436",""
"437","Yes"
"438",""
"439",""
"440",""
"441",""
"442","Yes"
"443","Yes"
"444","Yes"
"445",""
"446",""
"447","Yes"
"448",""
"449",""
"450","Yes"
"451","Yes"
"452",""
"453","Yes"
"454","Yes"
"455","No"
"456",""
"457","Yes"
"458",""
"459",""
"460","Yes"
"461","Yes"
"462","Yes"
"463","Yes"
"464",""
"465",""
"466",""
"467",""
"468",""
"469",""
"470",""
"471","Yes"
"472","Yes"
"473",""
"474",""
"475",""
"476","Yes"
"477","Yes"
"478",""
"479","Yes"
"480","No"
"481","Yes"
"482",""
"483",""
"484","Yes"
"485",""
"486","Yes"
"487",""
"488",""
"489",""
"490","Yes"
"491","Yes"
"492","Yes"
"493","Yes"
"494",""
"495","Yes"
"496","Yes"
"497","Yes"
"498","Yes"
"499","Yes"
"500","Yes"
"501",""
"502",""
"503",""
"504","Yes"
"505",""
"506","Yes"
"507","Yes"
"508","Yes"
"509",""
"510","Yes"
"511",""
"512",""
"513","Yes"
"514","Yes"
"515","Yes"
"516","Yes"
"517","Yes"
"518","Yes"
"519","Yes"
"520",""
"521",""
"522","Yes"
"523","Yes"
"524","Yes"
"525","Yes"
"526","Yes"
"527",""
"528","Yes"
"529",""
"530","Yes"
"531","Yes"
"532","Yes"
"533","Yes"
"534","Yes"
"535",""
"536",""
"537",""
"538",""
"539","Yes"
"540","Yes"
"541",""
"542",""
"543","Yes"
"544","Yes"
"545",""
"546",""
"547","Yes"
"548",""
"549",""
"550","Yes"
"551","Yes"
"552","Yes"
"553","Yes"
"554",""
"555","Yes"
"556","Yes"
"557","Yes"
"558","Yes"
"559","Yes"
"560","Yes"
"561","Yes"
"562","Yes"
"563","Yes"
"564","Yes"
"565","Yes"
"566","Yes"
"567","Yes"
"568","No"
"569","Yes"
"570","Yes"
"571",""
"572",""
"573","Yes"
"574","Yes"
"575","Yes"
"576","Yes"
"577","Yes"
"578","Yes"
"579","Yes"
"580","Yes"
"581","Yes"
"582","Yes"
"583","Yes"
"584","Yes"
"585","Yes"
"586","Yes"
"587","Yes"
"588","Yes"
"589","No"
"590",""
"591","Yes"
"592","Yes"
"593","Yes"
"594","Yes"
"595","Yes"
"596",""
"597","Yes"
"598",""
"599",""
"600","Yes"
"601","Yes"
"602","Yes"
"603","Yes"
"604","Yes"
"605","Yes"
"606","Yes"
"607",""
"608","Yes"
"609","Yes"
"610","Yes"
"611",""
"612","Yes"
"613","Yes"
"614","Yes"
"615","Yes"
"616","Yes"
"617","Yes"
"618","Yes"
"619","Yes"
"620","Yes"
"621","Yes"
"622","Yes"
"623","No"
"624","Yes"
"625","Yes"
"626","Yes"
"627","No"
"628","Yes"
"629","Yes"
"630","Yes"
"631","Yes"
"632","Yes"
"633","Yes"
"634","Yes"
"635","Yes"
"636","Yes"
"637","Yes"
"638","Yes"
"639","Yes"
"640","Yes"
"641","Yes"
"642","No"
"643","Yes"
"644","Yes"
"645","Yes"
"646","Yes"
"647","Yes"
"648",""
"649","Yes"
"650",""
"651","Yes"
"652","Yes"
"653","Yes"
"654","Yes"
"655","Yes"
"656",""
"657",""
"658","Yes"
"659",""
"660","Yes"
"661","Yes"
"662","No"
"663",""
"664","Yes"
"665","Yes"
"666","Yes"
"667","Yes"
"668","Yes"
"669","Yes"
"670","No"
"671","Yes"
"672","Yes"
"673","Yes"
"674","Yes"
"675","Yes"
"676","Yes"
"677","Yes"
"678","Yes"
"679","Yes"
"680",""
"681","Yes"
"682","Yes"
"683","Yes"
"684","Yes"
"685","No"
"686","Yes"
"687","Yes"
"688","Yes"
"689",""
"690",""
"691",""
"692","Yes"
"693",""
"694","Yes"
"695","Yes"
"696","Yes"
"697","Yes"
"698","Yes"
"699","Yes"
"700","Yes"
"701","Yes"
"702","Yes"
"703","Yes"
"704","Yes"
"705","Yes"
"706","Yes"
"707",""
"708","Yes"
"709","Yes"
"710","Yes"
"711","Yes"
"712","Yes"
"713","Yes"
"714","Yes"
"715","Yes"
"716","Yes"
"717","Yes"
"718","Yes"
"719","Yes"
"720","Yes"
"721","Yes"
"722","Yes"
"723","Yes"
"724","Yes"
"725","Yes"
"726","Yes"
"727","Yes"
"728","Yes"
"729","Yes"
"730","Yes"
"731","Yes"
"732","Yes"
"733","Yes"
"734","No"
"735","Yes"
"736","Yes"
"737","Yes"
"738","Yes"
"739","Yes"
"740","Yes"
"741","Yes"
"742","Yes"
"743","Yes"
"744","Yes"
"745","Yes"
"746","Yes"
"747","Yes"
"748","Yes"
"749","Yes"
"750","Yes"
"751","Yes"
"752","Yes"
"753","Yes"
"754","Yes"
"755","Yes"
"756","Yes"
"757","Yes"
"758","No"
"759","Yes"
"760","No"
"761","No"
"762","Yes"
"763","No"
"764","Yes"
"765","No"
"766","Yes"
"767",""
"768","Yes"
"769","Yes"
"770","Yes"
"771","Yes"
"772","Yes"
"773","Yes"
"774","Yes"
"775","Yes"
"776","No"
"777","Yes"
"778","Yes"
"779","Yes"
"780","Yes"
"781","Yes"
"782","Yes"
"783","Yes"
"784","Yes"
"785","Yes"
"786","Yes"
"787","Yes"
"788",""
"789","Yes"
"790","Yes"
"791","Yes"
"792","Yes"
"793","Yes"
"794","Yes"
"795","Yes"
"796","Yes"
"797","Yes"
"798","Yes"
"799","Yes"
"800","Yes"
"801","Yes"
"802","Yes"
"803","Yes"
"804","Yes"
"805","Yes"
"806","Yes"
"807",""
"808",""
"809","Yes"
"810","Yes"
"811","Yes"
"812","Yes"
"813","Yes"
"814","Yes"
"815","Yes"
"816",""
"817",""
"818",""
"819",""
"820","Yes"
"821",""
"822",""
"823","Yes"
"824","Yes"
"825","Yes"
"826",""
"827","Yes"
"828",""
"829","Yes"
"830","Yes"
"831","Yes"
"832",""
"833","Yes"
"834","Yes"
"835",""
"836",""
"837","Yes"
"838","Yes"
"839","Yes"
"840","Yes"
"841","Yes"
"842","Yes"
"843","Yes"
"844","Yes"
"845","Yes"
"846","Yes"
"847","Yes"
"848","Yes"
"849","Yes"
"850","Yes"
"851","Yes"
"852","Yes"
"853","Yes"
"854","Yes"
"855","Yes"
"856","Yes"
"857","Yes"
"858","Yes"
"859","Yes"
"860","Yes"
"861","Yes"
"862","Yes"
"863","Yes"
"864","Yes"
"865","Yes"
"866","Yes"
"867","Yes"
"868","No"
"869","Yes"
"870","Yes"
"871","Yes"
"872","Yes"
"873","Yes"
"874","Yes"
"875","Yes"
"876","Yes"
"877","Yes"
"878","Yes"
"879","Yes"
"880","Yes"
"881","Yes"
"882","Yes"
"883","Yes"
"884","Yes"
"885","Yes"
"886","Yes"
"887","Yes"
"888","Yes"
"889","No"
"890","Yes"
"891","Yes"
"892","Yes"
"893","Yes"
"894","Yes"
"895","Yes"
"896","Yes"
"897","Yes"
"898","Yes"
"899","Yes"
"900","Yes"
"901","Yes"
"902","Yes"
"903","Yes"
"904","Yes"
"905","Yes"
"906","Yes"
"907","Yes"
"908","Yes"
"909","Yes"
"910","Yes"
"911","Yes"
"912","Yes"
"913","Yes"
"914","Yes"
"915","Yes"
"916","Yes"
"917","Yes"
"918","Yes"
"919","Yes"
"920","Yes"
"921","Yes"
"922","Yes"
"923","Yes"
"924","Yes"
"925","Yes"
"926","Yes"
"927","Yes"
"928","Yes"
"929","Yes"
"930","Yes"
"931","Yes"
"932","Yes"
"933","Yes"
"934","Yes"
"935","Yes"
"936","Yes"
"937","Yes"
"938","Yes"
"939","Yes"
"940","Yes"
"941","Yes"
"942","Yes"
"943","Yes"
"944","Yes"
"945","Yes"
"946","Yes"
"947","Yes"
"948","Yes"
"949","Yes"
"950","Yes"
"951","Yes"
"952","Yes"
"953","Yes"
"954","Yes"
"955","Yes"
"956","Yes"
"957","Yes"
"958","Yes"
"959","Yes"
"960","Yes"
"961","Yes"
"962","Yes"
"963","Yes"
"964","Yes"
"965","Yes"
"966","Yes"
"967","Yes"
"968","Yes"
"969","Yes"
"970","Yes"
"971","Yes"
"972","Yes"
"973","Yes"
"974","Yes"
"975","Yes"
"976","Yes"
"977","Yes"
"978","Yes"
"979","Yes"
"980","Yes"
"981","Yes"
"982","Yes"
"983","Yes"
"984","Yes"
"985","Yes"
"986","Yes"
"987","Yes"
"988","Yes"
"989","Yes"
"990","Yes"
"991","Yes"
"992","Yes"
"993","Yes"
"994","Yes"
"995","Yes"
"996","Yes"
"997","Yes"
"998","Yes"
"999","Yes"
"1000","Yes"
"1001","Yes"
"1002","Yes"
"1003","Yes"
"1004","Yes"
"1005","Yes"
"1006","Yes"
"1007","Yes"
"1008","Yes"
"1009","Yes"
"1010","Yes"
"1011","Yes"
"1012","Yes"
"1013","Yes"
"1014","Yes"
"1015","Yes"
"1016","Yes"
"1017","Yes"
"1018","Yes"
"1019","Yes"
"1020","Yes"
"1021","No"
"1022","Yes"
"1023","No"
"1024","Yes"
"1025","Yes"
"1026","Yes"
"1027","Yes"
"1028","Yes"
"1029","Yes"
"1030","Yes"
"1031","Yes"
"1032","Yes"
"1033","Yes"
"1034","Yes"
"1035","Yes"
"1036","Yes"
"1037","Yes"
"1038","Yes"
"1039","Yes"
"1040","Yes"
"1041","Yes"
"1042","Yes"
"1043","Yes"
"1044","Yes"
"1045","Yes"
"1046","Yes"
"1047","Yes"
"1048","Yes"
"1049","Yes"
"1050","No"
"1051","Yes"
"1052","Yes"
"1053","Yes"
"1054","Yes"
"1055","Yes"
"1056","Yes"
"1057","Yes"
"1058","Yes"
"1059","Yes"
"1060","Yes"
"1061","Yes"
"1062","Yes"
"1063","Yes"
"1064","Yes"
"1065","Yes"
"1066","Yes"
"1067","Yes"
"1068","Yes"
"1069","Yes"
"1070","Yes"
"1071","Yes"
"1072","Yes"
"1073","Yes"
"1074","Yes"
"1075","Yes"
"1076","Yes"
"1077","Yes"
"1078","Yes"
"1079",""
"1080","Yes"
"1081","Yes"
"1082","Yes"
"1083","Yes"
"1084","Yes"
"1085","Yes"
"1086","Yes"
"1087","Yes"
"1088","Yes"
"1089","Yes"
"1090","Yes"
"1091","Yes"
"1092","Yes"
"1093","Yes"
"1094","Yes"
"1095","Yes"
"1096","Yes"
"1097","Yes"
"1098","Yes"
"1099","Yes"
"1100","Yes"
"1101","Yes"
"1102","Yes"
"1103","Yes"
"1104","Yes"
"1105","Yes"
"1106","Yes"
"1107","Yes"
"1108","Yes"
"1109","Yes"
"1110","Yes"
"1111","Yes"
"1112","Yes"
"1113","Yes"
"1114",""
"1115","Yes"
"1116","Yes"
"1117","Yes"
"1118","Yes"
"1119","Yes"
"1120","Yes"
"1121","Yes"
"1122","Yes"
"1123","Yes"
"1124","Yes"
"1125","Yes"
"1126","Yes"
"1127","Yes"
"1128","Yes"
"1129","Yes"
"1130","Yes"
"1131","Yes"
"1132","Yes"
"1133","Yes"
"1134","Yes"
"1135","Yes"
"1136","Yes"
"1137","Yes"
"1138","Yes"
"1139","Yes"
"1140","Yes"
"1141","Yes"
"1142","Yes"
"1143",""
"1144","Yes"
"1145","Yes"
"1146","No"
"1147","Yes"
"1148","Yes"
"1149","Yes"
"1150","Yes"
"1151","Yes"
"1152","Yes"
"1153","Yes"
"1154","Yes"
"1155","Yes"
"1156","Yes"
"1157","Yes"
"1158","Yes"
"1159","Yes"
"1160","Yes"
"1161","Yes"
"1162","Yes"
"1163","Yes"
"1164","Yes"
"1165","Yes"
"1166","Yes"
"1167","Yes"
"1168","Yes"
"1169","Yes"
"1170","No"
"1171","Yes"
"1172","Yes"
"1173",""
"1174","Yes"
"1175","Yes"
"1176","Yes"
"1177","Yes"
"1178","Yes"
"1179","Yes"
"1180","Yes"
"1181","Yes"
"1182","Yes"
"1183","Yes"
"1184","Yes"
"1185","No"
"1186","Yes"
"1187","Yes"
"1188","Yes"
"1189","Yes"
"1190","Yes"
"1191","Yes"
"1192","Yes"
"1193","Yes"
"1194","Yes"
"1195","Yes"
"1196","Yes"
"1197","Yes"
"1198","Yes"
"1199","Yes"
"1200","Yes"
"1201","Yes"
"1202","Yes"
"1203","Yes"
"1204","Yes"
"1205","Yes"
"1206","Yes"
"1207","Yes"
"1208","Yes"
"1209","Yes"
"1210","Yes"
"1211","Yes"
"1212","Yes"
"1213","Yes"
"1214","Yes"
"1215","Yes"
"1216","No"
"1217","Yes"
"1218","Yes"
"1219","Yes"
"1220","Yes"
"1221","Yes"
"1222","Yes"
"1223","Yes"
"1224","Yes"
"1225","Yes"
"1226",""
"1227","Yes"
"1228","Yes"
"1229","Yes"
"1230","Yes"
"1231","Yes"
"1232","Yes"
"1233","Yes"
"1234","Yes"
"1235","Yes"
"1236","Yes"
"1237","Yes"
"1238",""
"1239",""
"1240","Yes"
"1241","Yes"
"1242","Yes"
"1243",""
"1244","Yes"
"1245","Yes"
"1246","Yes"
"1247","Yes"
"1248","No"
"1249","Yes"
"1250","Yes"
"1251","Yes"
"1252","Yes"
"1253","Yes"
"1254","Yes"
"1255","Yes"
"1256","Yes"
"1257","Yes"
"1258","Yes"
"1259","Yes"
"1260","Yes"
"1261","Yes"
"1262","Yes"
"1263","Yes"
"1264","Yes"
"1265","Yes"
"1266","Yes"
"1267","Yes"
"1268","Yes"
"1269","Yes"
"1270","Yes"
"1271","No"
"1272","No"
"1273",""
"1274","Yes"
"1275","No"
"1276","Yes"
"1277","Yes"
"1278","Yes"
"1279","Yes"
"1280","Yes"
"1281","Yes"
"1282",""
"1283","Yes"
"1284","No"
"1285","No"
"1286","Yes"
"1287","Yes"
"1288","Yes"
"1289","Yes"
"1290","Yes"
"1291","Yes"
"1292","Yes"
"1293","Yes"
"1294","Yes"
"1295","Yes"
"1296","Yes"
"1297","Yes"
"1298","Yes"
"1299","Yes"
"1300","Yes"
"1301","Yes"
"1302","Yes"
"1303","Yes"
"1304","Yes"
"1305","Yes"
"1306","Yes"
"1307","Yes"
"1308","Yes"
"1309","Yes"
"1310","Yes"
"1311",""
"1312","Yes"
"1313","Yes"
"1314","Yes"
"1315",""
"1316",""
"1317",""
"1318","Yes"
"1319",""
"1320","Yes"
"1321",""
"1322","Yes"
"1323","No"
"1324","Yes"
"1325","Yes"
"1326","Yes"
"1327","Yes"
"1328","Yes"
"1329","Yes"
"1330","Yes"
"1331","Yes"
"1332","Yes"
"1333","Yes"
"1334","Yes"
"1335","Yes"
"1336","Yes"
"1337","Yes"
"1338","Yes"
"1339","Yes"
"1340","Yes"
"1341","Yes"
"1342","Yes"
"1343","Yes"
"1344","Yes"
"1345","Yes"
"1346",""
"1347","Yes"
"1348","No"
"1349","Yes"
"1350","Yes"
"1351","Yes"
"1352","No"
"1353","Yes"
"1354","Yes"
"1355","No"
"1356","Yes"
"1357","Yes"
"1358","No"
"1359","Yes"
"1360","Yes"
"1361","Yes"
"1362","No"
"1363","Yes"
"1364","Yes"
"1365","Yes"
"1366","Yes"
"1367","Yes"
"1368","Yes"
"1369","No"
"1370","Yes"
"1371","No"
"1372","Yes"
"1373","Yes"
"1374","Yes"
"1375","Yes"
"1376","Yes"
"1377","Yes"
"1378","No"
"1379","Yes"
"1380","Yes"
"1381","Yes"
"1382","Yes"
"1383","Yes"
"1384","Yes"
"1385","Yes"
"1386","Yes"
"1387","Yes"
"1388","Yes"
"1389","Yes"
"1390","Yes"
"1391","Yes"
"1392","Yes"
"1393","Yes"
"1394","Yes"
"1395","No"
"1396",""
"1397","Yes"
"1398","Yes"
"1399","Yes"
"1400","Yes"
"1401","Yes"
"1402","Yes"
"1403","Yes"
"1404","Yes"
"1405","Yes"
"1406","Yes"
"1407","No"
"1408","Yes"
"1409","Yes"
"1410","Yes"
"1411","Yes"
"1412","No"
"1413","No"
"1414","Yes"
"1415","Yes"
"1416","Yes"
"1417","Yes"
"1418","Yes"
"1419","Yes"
"1420","Yes"
"1421","Yes"
"1422","Yes"
"1423","Yes"
"1424","Yes"
"1425","Yes"
"1426","Yes"
"1427","Yes"
"1428","Yes"
"1429","Yes"
"1430","Yes"
"1431","Yes"
"1432","Yes"
"1433",""
"1434",""
"1435","Yes"
"1436","Yes"
"1437","Yes"
"1438","No"
"1439","Yes"
"1440","Yes"
"1441","Yes"
"1442","Yes"
"1443","Yes"
"1444","Yes"
"1445","Yes"
"1446","Yes"
"1447","Yes"
"1448","Yes"
"1449","Yes"
"1450","Yes"
"1451","Yes"
"1452","Yes"
"1453","Yes"
"1454","Yes"
"1455","Yes"
"1456","Yes"
"1457","Yes"
"1458","Yes"
"1459","Yes"
"1460","Yes"
"1461","Yes"
"1462","Yes"
"1463","Yes"
"1464","Yes"
"1465","Yes"
"1466","Yes"
"1467","Yes"
"1468","Yes"
"1469","Yes"
"1470","Yes"
"1471","Yes"
"1472","Yes"
"1473","Yes"
"1474","Yes"
"1475","Yes"
"1476","Yes"
"1477","Yes"
"1478","Yes"
"1479","Yes"
"1480","Yes"
"1481","Yes"
"1482","Yes"
"1483","Yes"
"1484","Yes"
"1485","Yes"
"1486","Yes"
"1487","Yes"
"1488","Yes"
"1489",""
